Fecha,GasLicuado,Regular,Superior,Diesel,GasLicuado_log,GasLicuado_diff,Diesel_log,Diesel_diff,Regular_log,Regular_diff,Superior_log,Superior_diff
2011-06-01,247082.28,290137.49,380800.43,729676.79,12.417476677547736,-0.003607665211903921,13.500356961655678,-0.09681041724905981,12.578110193059402,0.13586768816279005,12.85003071110039,0.023712949947077178
2011-07-01,259033.89,279283.36,389294.64,718255.06,12.464714181542485,0.04723750399474902,13.484580021717521,-0.01577693993815643,12.53998217264324,-0.03812802041616159,12.872091765201683,0.02206105410129311
2011-08-01,259688.74,256380.27,408494.51,699736.08,12.46723903899042,0.0025248574479359576,13.458458514360972,-0.0261215073565495,12.45441705098984,-0.08556512165340102,12.9202337537794,0.04814198857771679
2011-09-01,251882.54,256728.25,380453.23,660384.93,12.436718146718897,-0.030520892271523437,13.40057817126441,-0.05788034309656176,12.455773411446877,0.0013563604570379084,12.849118531514746,-0.07111522226465361
2011-10-01,262255.14,242071.01,381309.5,672214.93,12.477073125685157,0.040354978966259836,13.418333404678082,0.01775523341367169,12.396986391848799,-0.058787019598078416,12.851366660300565,0.002248128785819148
2011-11-01,252218.21,231413.83,381871.84,794507.24,12.438049904505855,-0.03902322117930268,13.585477377566853,0.16714397288877159,12.351962858593616,-0.04502353325518271,12.852840333914676,0.001473673614110993
2011-12-01,263892.43,291678.03,449904.1,862318.8,12.483296836971995,0.04524693246614042,13.667380318859774,0.08190294129292042,12.583405835912721,0.23144297731910513,13.016789727923992,0.1639493940093164
2012-01-01,242524.9,261933.68,393781.94,814956.72,12.398859664500772,-0.08443717247122251,13.610890286518439,-0.056490032341335095,12.475846620929493,-0.10755921498322785,12.883552583292454,-0.13323714463153813
2012-02-01,243810.95,253733.22,402633.55,848067.25,12.404148408884534,0.005288744383761923,13.650715215874907,0.03982492935646853,12.444038679072758,-0.03180794185673541,12.905782122049132,0.02222953875667777
2012-03-01,270906.08,290286.65,429534.5,925065.27,12.509527471527495,0.10537906264296026,13.737619576167333,0.08690436029242576,12.578624162045198,0.13458548297244022,12.97045734314091,0.06467522109177715
2012-04-01,249493.66,262615.28,389264.02,792201.73,12.427188783029207,-0.08233868849828774,13.58257134795954,-0.15504822820779296,12.478445426515211,-0.1001787355299868,12.872013107030915,-0.09844423610999442
2012-05-01,261657.41,235374.04,405877.41,771542.47,12.474791331674519,0.04760254864531177,13.556146997876844,-0.026424350082695724,12.368931187353153,-0.10951423916205805,12.913806447176247,0.041793340145332536
2012-06-01,255333.43,261012.58,409111.24,712464.94,12.450325538644625,-0.02446579302989349,13.476485982896694,-0.07966101498015021,12.472323884377001,0.1033926970238479,12.921742378485062,0.007935931308814759
2012-07-01,271101.94,233061.35,420370.6,699130.04,12.510250191492137,0.059924652847511695,13.457592041109168,-0.018893941787526458,12.359057002610264,-0.11326688176673727,12.948891982142714,0.02714960365765151
2012-08-01,280184.27,259165.94,433828.02,716720.36,12.5432027728367,0.03295258134456347,13.482441029559535,0.024848988450367315,12.465223830504964,0.10616682789470033,12.98040346726681,0.03151148512409563
2012-09-01,268875.1,228205.77,378478.8,632120.37,12.502002238489998,-0.0412005343467019,13.356835113854768,-0.1256059157047673,12.338003000928317,-0.12722082957664682,12.843915339722958,-0.13648812754385098
2012-10-01,297829.17,261347.22,414523.22,728414.88,12.604275346080495,0.10227310759049679,13.498626054963013,0.14179094110824586,12.473605147007778,0.13560214607946008,12.934884271288826,0.09096893156586816
2012-11-01,303422.01,272657.82,394751.47,812523.44,12.622879887761059,0.018604541680563358,13.607900042000667,0.10927398703765334,12.51597288140265,0.042367734394872514,12.886011655986826,-0.04887261530200071
2012-12-01,281757.56,310407.04,442191.43,848262.93,12.54880226384018,-0.07407762392087847,13.650945925677958,0.043045883677290675,12.645639747446376,0.1296668660437259,12.999498166846807,0.11348651085998185
2013-01-01,291844.0,287985.59,408557.45,863769.41,12.583974691914527,0.03517242807434684,13.66906112559156,0.018115199913601998,12.570665723144083,-0.07497402430229272,12.92038781986872,-0.07911034697808716
2013-02-01,253221.89,259659.66,361215.69,808853.97,12.442021418911803,-0.14195327300272353,13.603373672948798,-0.0656874526427611,12.467127052508781,-0.10353867063530231,12.797230538119747,-0.12315728174897345
