Fecha,GasLicuado,Regular,Superior,Diesel,GasLicuado_log,GasLicuado_diff,Diesel_log,Diesel_diff,Regular_log,Regular_diff
2001-01-01,194065.74,177776.5,373963.96,566101.99,12.175952246622739,,13.246529535298558,,12.08828242234796,
2001-02-01,170703.38,123115.99,243091.07,489525.8,12.04768270940665,-0.12826953721608803,13.101192446407463,-0.14533708889109498,11.7208821981318,-0.36740022421616025
2001-03-01,161837.37,161726.42,312084.38,575559.68,11.99434722109169,-0.0533354883149606,13.263098202896936,0.1619057564894728,11.99366142121063,0.27277922307882996
2001-04-01,163048.64,127338.74,285054.89,437745.42,12.001803840182985,0.007456619091295025,12.989392787500561,-0.2737054153963747,11.754606058752156,-0.23905536245847436
2001-05-01,171518.86,168730.19,300913.67,552609.13,12.052448510387263,0.050644670204277986,13.222406213231457,0.23301342573089556,12.036056209251134,0.28145015049897815
2001-06-01,190004.42,152899.09,333217.19,497855.26,12.154802614029935,0.10235410364267139,13.118064671191771,-0.10434154203968582,11.937533440297088,-0.09852276895404621
2001-07-01,206022.83,136299.13,195071.86,302350.02,12.235742266873773,0.08093965284383842,12.61934063184986,-0.49872403934191034,11.82260723468553,-0.11492620561155853
2001-08-01,100561.47,139365.07,268153.26,464159.13,11.51852446129571,-0.7172178055780627,13.047982724999803,0.42864209314994284,11.844852172021588,0.022244937336058257
2001-09-01,186839.02,233643.75,308439.07,321952.94,12.138002669472765,0.6194782081770551,12.682160664777406,-0.3658220602223974,12.361552798359288,0.5167006263377001
2001-10-01,163864.2,141550.22,305102.28,438989.55,12.006793315004083,-0.1312093544686821,12.992230887673758,0.31007022289635167,11.86040984475996,-0.5011429535993273
2001-11-01,194722.5,165841.46,256638.19,440245.35,12.17933074708717,0.17253743208308592,12.995087464122093,0.0028565764483357015,12.018787550737093,0.15837770597713252
2001-12-01,194329.02,149217.67,277145.05,479983.27,12.177307980877886,-0.002022766209282878,13.081506528109987,0.08641906398789345,11.913161391374715,-0.1056261593623784
2002-01-01,168422.62,178585.93,271479.0,500041.32,12.034231694810211,-0.14307628606767508,13.122446013989832,0.04093948587984464,12.09282516492598,0.1796637735512654
2002-02-01,200141.36,144447.25,365657.75,686923.83,12.206779195864689,0.1725475010544777,13.439978691695135,0.31753267770530336,11.880669667983843,-0.21215549694213642
2002-03-01,193422.6,104673.64,246292.6,432538.46,12.172632711430634,-0.034146484434055324,12.977426526255982,-0.4625521654391527,11.558602598206809,-0.3220670697770345
2002-04-01,218257.51,190339.0,310256.3,424667.36,12.293430883190018,0.12079817175938423,12.959061459097864,-0.018365067158118364,12.156561971856098,0.5979593736492888
2002-05-01,159299.42,194830.1,363311.76,497781.66,11.978540854962446,-0.3148900282275715,13.117916826131678,0.15885536703381398,12.17988317570778,0.02332120385168146
2002-06-01,210874.61,137050.8,250123.19,496826.62,12.25901897040969,0.2804781154472433,13.11599639109665,-0.0019204350350285893,11.828106938999557,-0.351776236708222
2002-07-01,199708.55,222408.0,428842.8,636727.84,12.204614332708736,-0.05440463770095327,13.364097590508587,0.24810119941193776,12.312268811934636,0.4841618729350792
2002-08-01,192213.74,143795.0,298280.33,346225.0,12.16636326099648,-0.03825107171225639,12.754844131710918,-0.609253458797669,11.876143953149972,-0.4361248587846642
2002-09-01,190686.73,156956.9,331053.7,638933.22,12.158387203430552,-0.00797605756592823,13.367555220856177,0.6127110891452592,11.963726524349308,0.0875825711993361
2002-10-01,210871.19,195426.8,352055.5,703749.81,12.25900275210947,0.10061554867891864,13.464178188453763,0.09662296759758604,12.182941163740752,0.2192146393914438
2002-11-01,227595.86,153185.7,291188.76,573289.5,12.335326791262197,0.0763240391527269,13.259146103710437,-0.20503208474332624,11.939406189895436,-0.24353497384531586
2002-12-01,192272.02,167596.71,440677.81,678749.64,12.166666419170381,-0.16866037209181606,13.4280076198434,0.16886151613296363,12.029315836765848,0.08990964687041192
2003-01-01,237532.26,228269.5,425185.5,797344.38,12.378058724811506,0.21139230564112488,13.589041959803627,0.1610343399602261,12.338282227447705,0.3089663906818565
2003-02-01,169819.0,214490.7,443849.85,765912.66,12.0424884429481,-0.3355702818634061,13.548823421334124,-0.04021853846950307,12.276021659766926,-0.06226056768077903
2003-03-01,221030.86,161257.48,363352.66,693942.31,12.30605760876046,0.2635691658123598,13.450144109232564,-0.09867931210155945,11.990757621179046,-0.2852640385878793
2003-04-01,192170.14,189824.89,335444.69,873103.1,12.16613640444783,-0.1399212043126301,13.679808926359541,0.22966481712697728,12.153857294600165,0.16309967342111875
2003-05-01,185016.67,269981.86,459025.69,625190.08,12.128201208109079,-0.03793519633875064,13.345811010480993,-0.3339979158785482,12.5061100505383,0.3522527559381352
2003-06-01,231805.03,182254.23,372486.53,671882.83,12.353651909393509,0.22545070128443,13.417839244183746,0.07202823370275269,12.113157859478102,-0.3929521910601981
2003-07-01,216504.93,133668.2,400922.97,822014.55,12.285368597528004,-0.06828331186550507,13.619513374611588,0.20167413042784155,11.803115888876498,-0.31004197060160443
2003-08-01,209952.38,169903.86,292365.04,494087.13,12.254636022080476,-0.030732575447528276,13.11046715713577,-0.5090462174758184,12.04298802664856,0.2398721377720623
2003-09-01,231499.19,177217.53,398192.16,614913.68,12.352331653582219,0.09769563150174321,13.32923717921401,0.2187700220782407,12.085133240025327,0.04214521337676658
2003-10-01,216302.81,181668.03,260219.92,433084.99,12.284434603072668,-0.06789705050955064,12.97868926947908,-0.3505479097349298,12.109936289536268,0.024803049510941477
